provider_id,provider_name,specialty,hospital_id,state,city,npi
PRV0001,Dr. Rachel Hooper,Dermatology,HOSP0014,GA,Peckfurt,3524521602
PRV0002,Dr. Steven Burch,Orthopedics,HOSP0030,FL,West Laura,5952163720
PRV0003,Dr. Sharon Cunningham,Orthopedics,HOSP0002,IL,Mclaughlinville,5990610098
PRV0004,Dr. Manuel Williams,Oncology,HOSP0050,NC,North Michaelchester,9138644862
PRV0005,Dr. Beth Holt,Family Medicine,HOSP0036,IL,Ryanmouth,2076341629
PRV0006,Dr. Mike Smith,Pediatrics,HOSP0036,IL,Ryanmouth,3291270703
PRV0007,Dr. Anthony Lopez,Orthopedics,HOSP0009,AZ,North Garystad,3493857758
PRV0008,Dr. Cheryl Mills,Orthopedics,HOSP0005,NC,North Josephview,7894019119
PRV0009,Dr. Melanie Hall,Cardiology,HOSP0035,CA,Garzaville,1121863227
PRV0010,Dr. Melvin Bowen,Cardiology,HOSP0045,FL,South Barbarachester,7752277876
PRV0011,Dr. Dana Espinoza,Cardiology,HOSP0022,CA,North Jerryville,9403748506
PRV0012,Dr. Jason Hall,Internal Medicine,HOSP0042,AZ,Murphyborough,7039121410
PRV0013,Dr. James Haynes,Internal Medicine,HOSP0048,FL,West Danielmouth,9903351330
PRV0014,Dr. Richard Reyes,Cardiology,HOSP0034,GA,New Carl,5973917657
PRV0015,Dr. Laura Parsons,Neurology,HOSP0016,GA,South Amandastad,7374810067
PRV0016,Dr. Tina Marshall,Oncology,HOSP0024,NY,Huntton,5912019621
PRV0017,Dr. Kyle Castillo,Dermatology,HOSP0026,GA,Jasonchester,8991977937
PRV0018,Dr. Rhonda Smith,Neurology,HOSP0033,AZ,Lake Sydney,3412273600
PRV0019,Dr. Sharon Hensley,Dermatology,HOSP0011,CA,East Debrachester,6333223513
PRV0020,Dr. Elizabeth Stone,Family Medicine,HOSP0007,AZ,Reneehaven,6443749394
PRV0021,Dr. Jacob Taylor,Oncology,HOSP0018,AZ,Douglasshire,1605064858
PRV0022,Dr. Robert Vargas,Cardiology,HOSP0022,CA,North Jerryville,7937993287
PRV0023,Dr. Sara Smith,Oncology,HOSP0023,IL,South Melissaton,4875395503
PRV0024,Dr. Benjamin Everett,Dermatology,HOSP0013,FL,Georgemouth,8392190335
PRV0025,Dr. Kimberly Strickland,Oncology,HOSP0039,NC,Mcclureport,4277581356
PRV0026,Dr. Meagan Gray,Internal Medicine,HOSP0021,NY,Lucaston,7299922974
PRV0027,Dr. Shawna Booth,Pediatrics,HOSP0039,NC,Mcclureport,3136189070
PRV0028,Dr. Jennifer Williams,Family Medicine,HOSP0020,OH,Lake Ryanville,9354711271
PRV0029,Dr. Daniel Lewis,Internal Medicine,HOSP0013,FL,Georgemouth,5151887478
PRV0030,Dr. Gregory Johnson,Oncology,HOSP0028,IL,Port Charles,7800411181
PRV0031,Dr. Crystal White,Cardiology,HOSP0019,TX,South James,5512036684
PRV0032,Dr. Raymond Fuller,Internal Medicine,HOSP0028,IL,Port Charles,8183421297
PRV0033,Dr. Stacey Moran,Pediatrics,HOSP0021,NY,Lucaston,3305069227
PRV0034,Dr. Daniel Patterson,Family Medicine,HOSP0037,OH,Lake Heather,2850820685
PRV0035,Dr. Melissa Lee,Pediatrics,HOSP0047,TX,East Nicole,8419590655
PRV0036,Dr. Kenneth Torres,Neurology,HOSP0049,OH,Joneshaven,2571688961
PRV0037,Dr. Amanda Maldonado,Neurology,HOSP0030,FL,West Laura,9809655189
PRV0038,Dr. Patricia Moore,Oncology,HOSP0041,NY,South Steveton,2239534867
PRV0039,Dr. Antonio Maxwell,Neurology,HOSP0001,TX,New Emilytown,7460728316
PRV0040,Dr. George Mahoney,Pediatrics,HOSP0011,CA,East Debrachester,3624410325
PRV0041,Dr. Vanessa Myers,Orthopedics,HOSP0044,NC,West Cindyhaven,5187948804
PRV0042,Dr. Jennifer Taylor,Neurology,HOSP0025,IL,South Daniel,9533188043
PRV0043,Dr. Gary Mitchell,Dermatology,HOSP0011,CA,East Debrachester,4242550727
PRV0044,Dr. Michael Avery,Oncology,HOSP0033,AZ,Lake Sydney,1172893522
PRV0045,Dr. Kelsey Hayes,Cardiology,HOSP0045,FL,South Barbarachester,2962750929
PRV0046,Dr. Nathan Martinez,Orthopedics,HOSP0027,GA,Valeriefort,7928074841
PRV0047,Dr. Andrew Ewing,Orthopedics,HOSP0045,FL,South Barbarachester,8913915028
